"filename", "language", "TypeScript", "TypeScript JSX", "JavaScript", "JSON", "CSS", "Markdown", "comment", "blank", "total"
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Home Page\Components\ui\PageWrapper.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, -8, -2, -10
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Home Page\Components\ui\Profile.tsx", "TypeScript JSX", 0, 39, 0, 0, 0, 0, 0, 5, 44
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Home Page\HeroSection.tsx", "TypeScript JSX", 0, 18, 0, 0, 0, 0, -1, 2, 19
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Home Page\page.tsx", "TypeScript JSX", 0, 1, 0, 0, 0, 0, 1, -1, 1
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\QueryProvider.tsx", "TypeScript JSX", 0, 11, 0, 0, 0, 0, 1, 4, 16
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Common\NavBar.tsx", "TypeScript JSX", 0, 23, 0, 0, 0, 0, 0, 2, 25
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Home\HomePage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Management\ManageProducts.tsx", "TypeScript JSX", 0, -19, 0, 0, 0, 0, 0, -3, -22
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Management\ProductImages.tsx", "TypeScript JSX", 0, 35, 0, 0, 0, 0, 8, 7, 50
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Management\ProductTable.tsx", "TypeScript JSX", 0, -13, 0, 0, 0, 0, 0, -5, -18
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Management\ServerSide\accessToken.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Management\newProduct.tsx", "TypeScript JSX", 0, -11, 0, 0, 0, 0, 0, -1, -12
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Edit_Product\Edit_ProductInformation.tsx", "TypeScript JSX", 0, -9, 0, 0, 0, 0, -1, -4, -14
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\UseAuth\useAuth.tsx", "TypeScript JSX", 0, 35, 0, 0, 0, 0, 0, 5, 40
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\axios\axios.ts", "TypeScript", 52, 0, 0, 0, 0, 0, 7, 3, 62
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -3, -3
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\AllProducts\Category.tsx", "TypeScript JSX", 0, 29, 0, 0, 0, 0, 0, 3, 32
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\AllProducts\page.tsx", "TypeScript JSX", 0, 74, 0, 0, 0, 0, 1, 8, 83
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\Authentication\CheckAuth.tsx", "TypeScript JSX", 0, 31, 0, 0, 0, 0, 0, 5, 36
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\Popular\page.tsx", "TypeScript JSX", 0, 9, 0, 0, 0, 0, 0, 3, 12
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\Shop\page.tsx", "TypeScript JSX", 0, 9, 0, 0, 0, 0, 0, 3, 12
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\animations\Later.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\axios\dataStore.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 0, 5, 33
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\components\Container\MainShopProduct.tsx", "TypeScript JSX", 0, 77, 0, 0, 0, 0, 1, 7, 85
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\components\Container\ProductCard.tsx", "TypeScript JSX", 0, 32, 0, 0, 0, 0, 0, 4, 36
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\components\Container\TrendingProduct.tsx", "TypeScript JSX", 0, 9, 0, 0, 0, 0, 0, 3, 12
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\components\common\Button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\components\common\Input.tsx", "TypeScript JSX", 0, 13, 0, 0, 0, 0, 0, 3, 16
