"filename", "language", "JavaScript", "TypeScript", "JSON with Comments", "JSON", "Markdown", "XML", "TypeScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Management\Condition.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 16, 0, 0, 5, 21
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Management\Draft.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 16, 0, 0, 2, 18
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Management\InStock.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 16, 0, 0, 2, 18
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Management\ManageProducts.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 147, 0, 0, 25, 172
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Management\OutofStock.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 15, 0, 0, 2, 17
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Management\OverallStorage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 15, 0, 0, 5, 20
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Management\PackageSize.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 75, 0, 0, 11, 86
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Management\Pricing.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 57, 0, 0, 6, 63
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Management\ProductImages.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 134, 0, 1, 28, 163
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Management\ProductTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 111, 0, 2, 11, 124
