"filename", "language", "JavaScript", "TypeScript", "TypeScript JSX", "JSON with Comments", "XML", "JSON", "Markdown", "CSS", "comment", "blank", "total"
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Management\Loading\Pinwheel.tsx", "TypeScript JSX", 0, 0, 23, 0, 0, 0, 0, 0, 0, 5, 28
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Management\Loading\SquareLoading.tsx", "TypeScript JSX", 0, 0, 23, 0, 0, 0, 0, 0, 0, 4, 27
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Management\ManageProducts.tsx", "TypeScript JSX", 0, 0, 112, 0, 0, 0, 0, 0, 0, 20, 132
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Management\OutofStock.tsx", "TypeScript JSX", 0, 0, 15, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Management\OverallStorage.tsx", "TypeScript JSX", 0, 0, 15, 0, 0, 0, 0, 0, 0, 5, 20
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Management\PackageSize.tsx", "TypeScript JSX", 0, 0, 75, 0, 0, 0, 0, 0, 0, 9, 84
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Management\Pricing.tsx", "TypeScript JSX", 0, 0, 57, 0, 0, 0, 0, 0, 0, 6, 63
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Management\ProductImages.tsx", "TypeScript JSX", 0, 0, 219, 0, 0, 0, 0, 0, 36, 45, 300
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Management\ProductTable.tsx", "TypeScript JSX", 0, 0, 182, 0, 0, 0, 0, 0, 2, 19, 203
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Management\Schedule.tsx", "TypeScript JSX", 0, 0, 23, 0, 0, 0, 0, 0, 2, 7, 32
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Management\ServerSide\accessToken.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Management\newProduct.tsx", "TypeScript JSX", 0, 0, 300, 0, 0, 0, 0, 0, 2, 38, 340
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Edit_Product\Edit_ProductImages.tsx", "TypeScript JSX", 0, 0, 48, 0, 0, 0, 0, 0, 1, 7, 56
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Edit_Product\Edit_ProductInformation.tsx", "TypeScript JSX", 0, 0, 242, 0, 0, 0, 0, 0, 2, 35, 279
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Edit_Product\page.tsx", "TypeScript JSX", 0, 0, 33, 0, 0, 0, 0, 0, 0, 7, 40
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Home\IconHome.tsx", "TypeScript JSX", 0, 0, 15, 0, 0, 0, 0, 0, 1, 3, 19
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Home\page.tsx", "TypeScript JSX", 0, 0, 14, 0, 0, 0, 0, 0, 0, 9, 23
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Marketing\page.tsx", "TypeScript JSX", 0, 0, 14, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\NewProduct\Prototype\Input.tsx", "TypeScript JSX", 0, 0, 16, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\NewProduct\Prototype\TextArea.tsx", "TypeScript JSX", 0, 0, 11, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\NewProduct\Prototype\Weight.tsx", "TypeScript JSX", 0, 0, 16, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\NewProduct\page.tsx", "TypeScript JSX", 0, 0, 13, 0, 0, 0, 0, 0, 0, 2, 15
